name@version *;license *;copyrights *;end-of-support;dependencies;language;repository;email;URL
activation-1.0.2.jar;CDDL-1.0;-;-;-;Java;-;-;-
aopalliance-1.0.jar;Public Domain;-;-;-;Java;-;-;-
axis-1.4.csi-1.0.0.jar;Libreria personalizzata CSI basata su Apache-2.0;-;-;-;Java;-;-;-
axis-ant-1.4.jar;Apache-2.0;-;-;-;Java;-;-;-
axis-jaxrpc-1.4.jar;Apache-2.0;-;-;-;Java;-;-;-
bcprov-jdk15on-155.jar;BouncyCastle License;The Bouncy Castle ;#N/D;#N/D;Java;#N/D;#N/D;#N/D
bsh-1.2b7.jar;LGPL-2.1;-;-;-;Java;-;-;-
cglib-nodep-2.1_3.jar;Apache-2.0;-;-;-;Java;-;-;-
commons-codec-1.7.jar;Apache-2.0;-;-;-;Java;-;-;-
commons-discovery-0.2.jar;Apache-1.1;"""This product includes software developed by the Apache Software Foundation (http://www.apache.org/).""";-;-;Java;-;-;-
commons-httpclient-3.1.jar;Apache-2.0;-;-;-;Java;-;-;-
commons-lang-2.4.jar;Apache-2.0;-;-;-;Java;-;-;-
commons-logging-1.0.4.jar;Apache-2.0;-;-;-;Java;-;-;-
coop-diag-1.2.1.jar;"Apache-2.0; MIT (Rilasciata da CSI Piemonte su richiesta)";CSI-Piemonte;-;-;Java;-;-;-
coop-trace-1.2.0.jar;"Apache-2.0; MIT (Rilasciata da CSI Piemonte su richiesta)";CSI-Piemonte;-;-;Java;-;-;-
csi-apachesoap-1.4.5.jar;"Apache-2.0; MIT (Rilasciata da CSI Piemonte su richiesta)";CSI-Piemonte;-;-;Java;-;-;-
csi-core-1.4.5.jar;"Apache-2.0; MIT (Rilasciata da CSI Piemonte su richiesta)";CSI-Piemonte;-;-;Java;-;-;-
csi-ejb-1.4.5.jar;"Apache-2.0; MIT (Rilasciata da CSI Piemonte su richiesta)";CSI-Piemonte;-;-;Java;-;-;-
csi-ejb-weblogic-1.4.5.jar;"Apache-2.0; MIT (Rilasciata da CSI Piemonte su richiesta)";CSI-Piemonte;-;-;Java;-;-;-
csi-rmi-1.4.5.jar;"Apache-2.0; MIT (Rilasciata da CSI Piemonte su richiesta)";CSI-Piemonte;-;-;Java;-;-;-
csi-stadapter-1.4.5.jar;"Apache-2.0; MIT (Rilasciata da CSI Piemonte su richiesta)";CSI-Piemonte;-;-;Java;-;-;-
csi-tools-1.4.5.jar;"Apache-2.0; MIT (Rilasciata da CSI Piemonte su richiesta)";CSI-Piemonte;-;-;Java;-;-;http://opensource.org/licenses/BSD-3-Clause
dom-1.0.jar;Apache-2.0;-;-;-;Java;-;-;-
ecmengine-common-6.2.0.jar;"Apache-2.0; MIT (Rilasciata da CSI Piemonte su richiesta)";CSI-Piemonte;-;-;Java;-;-;-
